Pulse,Temp,Oxygen,Hydration,Healthy
28,96,80,340,1
13,94,77,282,1
23,96,88,346,1
49,91,77,277,1
45,90,78,335,1
48,95,87,272,1
19,96,89,324,1
25,96,87,287,1
47,93,87,252,1
18,96,86,263,1
6,90,75,274,1
33,91,86,311,1
14,94,79,297,1
16,91,74,321,1
25,92,75,281,1
11,94,73,344,1
22,93,72,347,1
40,91,71,337,1
26,96,76,312,1
9,96,88,269,1
32,93,74,328,1
15,93,81,304,1
33,90,82,272,1
11,94,85,256,1
3,96,85,280,1
29,95,82,310,1
13,92,74,294,1
0,93,80,271,1
50,90,85,251,1
10,92,81,323,1
38,92,76,338,1
38,96,71,258,1
8,96,86,284,1
16,93,72,349,1
17,92,78,301,1
26,96,87,280,1
6,94,75,273,1
13,90,81,294,1
35,90,85,274,1
50,93,84,316,1
4,93,86,325,1
20,91,78,337,1
32,90,81,326,1
0,90,80,272,1
10,96,79,308,1
24,91,87,297,1
43,92,73,274,1
24,91,75,276,1
21,93,86,349,1
45,92,70,325,1
31,91,70,287,1
30,96,70,287,1
45,90,72,280,1
46,92,74,321,1
2,96,74,281,1
2,91,86,320,1
32,90,73,258,1
27,92,74,283,1
12,90,82,291,1
39,96,79,276,1
46,93,88,263,1
4,94,79,265,1
19,92,83,300,1
41,90,73,345,1
38,93,72,310,1
49,92,83,273,1
26,95,75,278,1
44,94,71,319,1
21,92,77,345,1
47,96,76,252,1
44,96,85,276,1
8,92,77,348,1
29,96,79,278,1
19,93,82,289,1
33,95,75,324,1
11,90,81,274,1
19,92,78,274,1
7,93,81,327,1
5,95,81,314,1
17,92,71,333,1
37,93,77,314,1
28,92,82,319,1
4,91,86,304,1
1,94,75,345,1
9,92,86,274,1
43,91,78,323,1
21,90,83,328,1
18,91,86,271,1
0,92,89,257,1
22,95,79,292,1
25,90,75,311,1
20,92,76,252,1
2,92,86,281,1
27,90,81,323,1
26,95,83,314,1
22,90,75,339,1
1,93,86,303,1
67,91,80,308,1
80,95,73,296,1
70,94,78,345,1
75,92,87,250,1
92,90,71,306,1
86,90,89,344,1
172,92,76,260,1
155,92,76,281,1
166,94,79,283,1
90,94,78,326,1
66,90,78,350,1
74,90,70,290,1
82,96,78,275,1
171,91,83,328,1
55,93,85,259,1
139,91,82,304,1
143,96,82,337,1
165,94,79,299,1
55,91,83,256,1
158,92,83,266,1
151,93,73,262,1
149,92,76,282,1
74,92,74,262,1
114,90,75,271,1
106,93,86,266,1
51,94,78,308,1
127,90,70,320,1
76,94,71,288,1
116,90,86,272,1
105,91,81,304,1
122,91,82,312,1
127,95,81,257,1
113,96,85,346,1
174,91,83,259,1
89,93,82,276,1
169,91,75,317,1
173,91,74,288,1
54,95,87,336,1
154,96,87,329,1
141,91,75,287,1
147,95,80,447,1
93,92,77,150,1
169,95,79,205,1
101,93,76,235,1
167,95,76,142,1
59,95,89,224,1
50,92,88,180,1
62,91,89,148,1
81,93,85,171,1
117,94,79,125,1
91,90,75,212,1
163,95,82,237,1
150,95,81,158,1
160,96,81,190,1
78,91,73,137,1
78,94,75,107,1
51,93,80,136,1
58,94,76,139,1
51,90,75,177,1
132,90,79,223,1
140,95,74,225,1
113,92,87,170,1
99,90,88,117,1
120,90,75,108,1
128,93,82,151,1
95,90,88,245,1
74,90,75,230,1
161,91,87,158,1
130,94,85,164,1
83,91,72,162,1
67,91,71,184,1
90,92,79,120,1
151,92,82,431,1
127,94,82,359,1
134,95,75,388,1
134,90,85,437,1
74,92,85,392,1
112,91,77,378,1
58,94,85,447,1
59,93,76,381,1
166,90,76,406,1
80,93,88,397,1
129,91,75,350,1
148,91,79,434,1
79,92,82,359,1
75,93,81,437,1
56,90,81,350,1
93,90,70,417,1
57,92,77,377,1
128,95,84,355,1
55,90,78,421,1
170,94,80,410,1
154,93,83,378,1
85,95,80,358,1
148,90,80,435,1
58,94,70,405,1
83,90,78,435,1
104,91,79,387,1
168,92,88,401,1
166,92,84,394,1
138,91,82,359,1
52,96,88,430,1
149,92,73,409,1
53,94,75,355,1
133,93,80,400,1
158,91,70,424,1
169,92,77,371,1
148,95,88,436,1
156,95,80,371,1
94,91,72,113,1
54,90,83,171,1
114,94,85,136,1
155,95,79,249,1
164,90,77,171,1
93,94,87,180,1
97,93,89,115,1
96,94,87,174,1
76,91,74,106,1
101,92,70,107,1
54,95,82,210,1
146,96,89,227,1
88,90,82,228,1
118,90,84,193,1
82,94,78,179,1
152,92,81,173,1
97,95,75,243,1
51,93,79,180,1
139,94,77,134,1
163,94,77,240,1
158,90,82,207,1
93,93,72,154,1
61,94,77,229,1
175,95,80,189,1
79,94,78,244,1
84,90,87,138,1
176,92,80,161,1
51,93,93,213,1
76,92,97,191,1
131,92,98,245,1
148,94,94,178,1
169,96,96,208,1
95,94,90,226,1
131,91,98,244,1
131,95,90,147,1
174,91,94,205,1
97,90,92,249,1
57,91,91,187,1
122,91,95,203,1
116,95,93,133,1
80,91,97,152,1
52,92,94,159,1
87,93,91,117,1
180,96,97,245,1
146,90,94,239,1
175,95,93,186,1
81,94,96,126,1
159,94,90,222,1
50,96,94,246,1
96,97,94,245,1
98,99,99,207,1
152,99,99,211,1
58,99,98,117,1
163,98,93,145,1
158,98,96,219,1
165,97,80,152,1
144,99,69,203,1
153,98,70,149,1
108,98,59,103,1
140,98,54,146,1
104,97,79,134,1
97,99,73,126,1
168,97,73,166,1
159,98,51,209,1
177,99,67,102,1
53,98,63,136,1
141,99,58,190,1
125,98,52,192,1
136,99,76,160,1
168,97,66,243,1
114,97,54,214,1
77,98,68,189,1
66,98,69,131,1
88,97,66,199,1
116,97,56,215,1
51,99,60,234,1
89,98,68,111,1
116,97,70,177,1
152,98,53,218,1
156,99,63,193,1
175,97,51,136,1
154,99,74,128,1
152,99,72,210,1
87,99,57,111,1
162,97,62,134,1
142,99,66,132,1
77,98,71,184,1
170,97,51,105,1
74,99,68,229,1
120,99,73,208,1
145,97,71,190,1
70,99,70,235,1
106,97,53,246,1
84,97,53,116,1
148,99,71,176,1
179,99,60,218,1
145,99,60,222,1
114,97,78,241,1
138,97,75,193,1
165,97,50,139,1
160,98,57,218,1
103,97,59,178,1
73,98,80,169,1
145,99,64,205,1
170,97,75,218,1
160,98,74,108,1
149,98,62,119,1
163,99,80,157,1
123,97,58,244,1
109,97,60,114,1
136,98,78,143,1
146,97,68,238,1
88,99,68,187,1
178,97,64,138,1
180,97,59,233,1
231,99,72,177,1
201,99,69,165,1
200,98,73,201,1
210,97,70,133,1
256,98,59,197,1
216,97,70,247,1
250,99,64,131,1
243,97,78,199,1
205,99,75,188,1
208,97,77,210,1
250,99,59,175,1
203,99,54,148,1
247,97,56,167,1
221,98,79,144,1
204,97,58,190,1
237,98,61,110,1
243,98,80,116,1
234,97,51,230,1
214,97,57,201,1
255,98,65,109,1
235,98,55,232,1
237,97,53,231,1
247,99,60,138,1
202,99,69,164,1
205,99,57,169,1
258,99,70,227,1
220,97,60,181,1
225,98,70,249,1
218,98,66,205,1
223,97,56,128,1
220,97,64,147,1
211,97,77,127,1
208,97,52,103,1
251,97,56,250,1
242,99,66,195,1
227,97,73,224,1
245,98,54,247,1
201,98,75,158,1
208,99,62,219,1
258,99,58,123,1
260,98,55,136,1
215,98,78,165,1
203,99,74,123,1
260,98,73,108,1
222,99,80,102,1
248,97,69,220,1
254,98,57,130,1
255,97,64,176,1
224,99,64,143,1
209,98,68,236,1
233,99,70,132,1
204,97,60,222,1
228,97,68,184,1
201,99,67,236,1
246,98,51,126,1
252,99,59,237,1
247,99,51,176,1
257,97,65,151,1
259,99,63,240,1
207,97,79,236,1
245,97,74,187,1
242,97,57,244,1
213,97,79,138,1
251,97,75,204,1
212,98,60,123,1
212,98,66,107,1
251,99,56,120,1
234,98,51,227,1
208,99,71,183,1
243,98,56,155,1
206,97,57,119,1
216,99,52,149,1
248,98,60,120,1
257,97,59,182,1
247,98,61,128,1
225,99,54,205,1
243,99,80,132,1
209,98,52,222,1
244,98,71,150,1
225,97,60,136,1
218,98,65,122,1
215,99,65,227,1
212,97,65,141,1
223,98,61,175,1
208,98,50,246,1
211,98,70,213,1
235,98,61,195,1
243,98,69,248,1
229,98,73,203,1
240,99,78,222,1
226,97,66,228,1
229,98,78,228,1
234,98,76,226,1
231,97,70,147,1
228,98,80,226,1
250,99,54,159,1
227,99,62,141,1
244,97,74,127,1
256,99,58,246,1
253,98,55,132,1
208,98,56,197,1
215,99,56,239,1
226,97,58,100,1
244,99,66,158,1
218,99,77,125,1
218,99,80,157,1
240,97,64,196,1
258,99,77,200,1
210,98,67,233,1
210,99,79,197,1
258,99,50,108,1
253,98,60,135,1
260,97,73,207,1
211,98,59,180,1
221,98,73,148,1
213,98,62,162,1
215,97,56,147,1
227,99,68,210,1
215,99,72,151,1
236,99,75,134,1
250,98,58,162,1
215,97,65,101,1
237,97,67,223,1
244,98,58,153,1
77,97,95,434,0
127,99,98,385,0
203,99,96,435,0
128,99,90,385,0
83,99,93,440,0
112,99,96,359,0
162,98,99,439,0
193,99,92,449,0
164,99,96,414,0
71,99,90,369,0
144,98,92,433,0
101,99,93,402,0
98,98,98,427,0
191,99,99,362,0
85,98,97,414,0
183,97,95,424,0
150,98,94,444,0
130,98,90,405,0
62,99,95,429,0
89,97,96,416,0
160,99,91,350,0
133,97,90,361,0
78,99,93,402,0
103,98,92,443,0
108,97,95,393,0
85,97,90,386,0
135,98,91,355,0
99,98,93,388,0
149,98,92,375,0
139,98,90,388,0
204,98,90,377,0
146,97,95,445,0
194,98,92,433,0
187,97,99,376,0
182,99,94,358,0
135,99,94,362,0
177,97,97,386,0
129,98,92,390,0
141,97,94,421,0
218,97,97,415,0
195,99,94,425,0
167,98,91,408,0
155,99,94,450,0
71,98,94,372,0
209,97,91,361,0
177,99,95,353,0
156,97,98,375,0
197,98,90,379,0
132,97,94,356,0
123,98,98,387,0
121,98,98,426,0
187,99,91,438,0
145,98,95,423,0
220,98,94,421,0
180,98,93,394,0
195,99,91,354,0
115,98,91,396,0
194,98,99,411,0
188,99,92,418,0
62,97,91,368,0
148,99,98,449,0
148,98,97,438,0
164,99,91,440,0
209,99,93,445,0
177,98,96,369,0
185,97,96,361,0
81,97,95,376,0
81,99,92,396,0
73,97,92,421,0
155,97,94,422,0
168,98,90,400,0
101,97,93,388,0
209,97,92,360,0
82,98,98,366,0
218,97,94,436,0
169,99,95,385,0
213,99,93,432,0
117,99,90,431,0
87,97,99,394,0
172,98,96,379,0
219,99,94,358,0
63,98,98,385,0
79,97,93,366,0
217,98,91,445,0
198,98,99,422,0
150,97,95,354,0
158,98,95,384,0
187,97,94,378,0
96,99,98,413,0
76,98,90,423,0
209,99,90,379,0
138,98,94,431,0
141,98,93,418,0
124,99,92,361,0
204,99,96,441,0
186,98,94,433,0
72,98,99,408,0
80,97,95,393,0
65,98,96,388,0
64,98,90,418,0
96,98,94,386,0
94,97,90,423,0
113,99,93,407,0
82,97,93,352,0
85,98,97,363,0
110,99,93,424,0
103,97,90,400,0
96,97,90,450,0
130,97,99,444,0
166,99,94,389,0
188,99,92,393,0
200,99,96,362,0
117,97,93,400,0
184,98,90,375,0
87,99,94,435,0
84,98,98,407,0
60,97,99,383,0
140,97,93,408,0
89,98,99,424,0
92,97,97,393,0
90,97,96,361,0
142,97,97,379,0
164,98,99,442,0
135,99,98,393,0
167,98,91,433,0
158,98,96,397,0
68,99,90,389,0
85,98,97,387,0
61,97,92,415,0
205,97,94,384,0
206,99,98,363,0
145,97,98,431,0
73,99,95,415,0
171,99,95,431,0
220,98,95,401,0
146,97,96,420,0
204,98,93,418,0
77,97,90,392,0
95,98,92,356,0
217,98,92,385,0
184,97,98,398,0
199,98,99,434,0
125,97,93,444,0
80,98,97,371,0
169,98,93,371,0
89,97,96,428,0
144,97,93,359,0
85,98,95,364,0
220,97,93,409,0
179,99,95,368,0
158,98,93,400,0
206,99,93,427,0
151,98,97,377,0
104,97,93,435,0
192,98,93,402,0
83,98,99,427,0
174,98,91,418,0
179,99,92,450,0
176,97,93,400,0
120,99,94,360,0
114,97,99,427,0
187,98,91,366,0
186,99,97,437,0
115,98,97,381,0
199,98,93,423,0
119,97,94,445,0
125,99,97,378,0
160,98,92,412,0
78,97,99,398,0
147,98,91,379,0
219,98,98,435,0
157,98,95,377,0
198,99,91,401,0
137,97,91,417,0
67,99,92,449,0
196,99,94,415,0
95,97,98,416,0
144,99,96,376,0
197,99,99,390,0
186,98,90,438,0
102,97,99,351,0
163,99,94,392,0
182,97,93,417,0
123,98,94,400,0
97,99,99,428,0
159,97,92,419,0
109,97,93,417,0
116,99,94,380,0
181,98,93,366,0
208,97,95,361,0
176,98,92,445,0
165,97,95,356,0
218,98,99,383,0
185,98,95,379,0
152,97,99,414,0
78,97,91,374,0
73,98,97,420,0
71,99,94,367,0
152,98,91,360,0
148,99,93,428,0
207,99,90,353,0
126,97,97,371,0
108,98,93,425,0
116,99,93,364,0
213,97,97,419,0
120,97,92,368,0
163,98,95,395,0
130,99,99,374,0
190,97,91,429,0
129,99,99,376,0
140,99,91,430,0
191,97,94,399,0
195,98,96,392,0
139,97,99,412,0
127,99,98,447,0
155,98,95,414,0
81,98,92,422,0
87,99,96,361,0
86,98,95,372,0
75,99,99,354,0
70,99,91,384,0
154,97,95,409,0
179,98,94,407,0
120,98,98,431,0
219,98,94,418,0
91,97,94,360,0
142,99,99,422,0
68,98,96,420,0
71,98,99,391,0
86,98,94,417,0
145,97,92,426,0
196,98,95,438,0
156,97,90,432,0
128,99,90,382,0
119,99,92,401,0
66,98,97,364,0
184,97,94,370,0
125,98,95,449,0
134,99,95,418,0
114,97,90,377,0
135,98,98,437,0
94,98,90,378,0
175,99,92,383,0
112,97,96,439,0
91,97,98,425,0
61,97,96,437,0
197,99,98,450,0
135,97,96,433,0
123,97,90,391,0
205,99,94,395,0
100,97,94,418,0
201,98,90,388,0
180,98,98,381,0
103,97,99,394,0
74,99,99,411,0
187,98,96,357,0
114,97,95,399,0
196,97,97,383,0
89,98,98,444,0
96,97,90,405,0
169,99,99,355,0
177,97,91,409,0
220,97,96,399,0
73,98,99,369,0
125,97,94,425,0
192,99,92,429,0
212,98,99,387,0
198,98,94,390,0
154,97,95,427,0
66,98,90,364,0
175,99,92,358,0
102,97,90,374,0
194,98,99,415,0
99,98,90,380,0
144,97,98,446,0
198,99,97,375,0
185,99,97,350,0
213,97,96,409,0
79,99,96,394,0
107,99,92,446,0
96,98,94,383,0
150,98,98,361,0
183,98,99,401,0
78,98,97,357,0
128,99,98,407,0
97,97,99,430,0
213,98,96,418,0
206,99,98,393,0
205,97,93,436,0
114,99,96,399,0
80,98,98,356,0
197,98,92,379,0
80,97,95,432,0
80,99,99,371,0
219,99,98,438,0
106,99,96,423,0
91,97,97,380,0
129,98,90,419,0
203,99,97,398,0
124,97,91,414,0
135,99,97,354,0
92,97,94,385,0
146,98,95,388,0
155,99,94,357,0
92,98,97,370,0
64,98,96,403,0
167,99,94,371,0
185,99,92,432,0
153,98,90,360,0
205,99,92,433,0
88,98,90,411,0
83,99,90,358,0
128,97,97,376,0
83,99,92,399,0
96,99,93,437,0
217,98,94,353,0
65,99,95,427,0
113,98,98,379,0
200,98,96,379,0
188,99,96,433,0
80,99,94,350,0
124,97,96,392,0
160,99,92,422,0
65,99,99,424,0
124,97,91,383,0
89,97,90,391,0
105,97,90,372,0
76,99,91,390,0
179,99,91,401,0
204,98,96,403,0
149,99,92,434,0
182,98,92,399,0
168,97,99,363,0
79,98,99,392,0
195,98,90,442,0
144,97,90,368,0
94,98,96,390,0
120,98,97,438,0
189,98,93,380,0
107,99,98,381,0
172,97,93,417,0
106,97,93,434,0
103,97,98,434,0
62,98,95,401,0
151,97,97,440,0
173,98,90,426,0
183,97,91,435,0
189,99,94,359,0
151,99,90,440,0
141,97,97,402,0
120,97,90,420,0
76,98,97,424,0
162,99,90,448,0
189,99,98,430,0
80,97,94,401,0
200,97,92,400,0
91,98,97,433,0
184,98,94,407,0
80,97,90,368,0
74,99,98,350,0
172,99,91,407,0
85,97,95,448,0
147,98,94,449,0
186,97,93,418,0
142,98,95,437,0
206,97,96,380,0
132,97,98,421,0
116,97,95,357,0
122,99,96,419,0
188,99,97,417,0
99,97,96,365,0
145,99,96,433,0
198,98,95,401,0
159,99,92,417,0
111,98,98,386,0
220,99,97,416,0
66,98,93,410,0
168,97,94,393,0
164,98,95,405,0
134,98,95,389,0
80,99,96,440,0
120,98,97,360,0
188,99,91,445,0
186,98,96,388,0
114,97,93,385,0
93,97,99,408,0
184,97,91,415,0
150,98,98,398,0
79,99,97,358,0
153,99,94,382,0
198,98,93,400,0
93,98,96,371,0
185,97,93,360,0
189,98,99,367,0
202,98,98,371,0
113,99,98,399,0
167,98,97,418,0
219,98,90,440,0
104,97,92,401,0
180,99,93,364,0
95,98,97,437,0
154,98,91,427,0
150,98,95,414,0
133,97,93,353,0
136,98,95,375,0
170,99,97,367,0
95,97,99,441,0
158,97,92,426,0
139,99,94,420,0
118,99,98,354,0
175,98,91,396,0
90,99,99,386,0
172,97,98,364,0
138,98,98,381,0
153,99,91,434,0
143,97,95,418,0
130,99,91,405,0
174,98,90,401,0
161,99,94,402,0
78,97,90,392,0
81,99,98,376,0
69,99,90,393,0
217,97,93,446,0
105,97,99,370,0
216,98,95,392,0
210,98,99,429,0
142,98,92,363,0
96,98,91,384,0
168,98,95,359,0
98,98,90,437,0
73,98,97,364,0
192,97,94,362,0
113,97,92,415,0
89,97,94,361,0
114,97,99,400,0
63,97,92,371,0
128,98,91,450,0
140,98,92,433,0
158,99,92,373,0
60,98,94,430,0
135,97,95,408,0
145,98,91,390,0
63,97,92,393,0
193,99,90,388,0
109,98,91,365,0
154,97,93,409,0
207,98,99,366,0
196,97,92,393,0
69,99,94,383,0
69,99,94,436,0
212,98,98,424,0
128,98,94,420,0
187,99,98,370,0
203,98,94,405,0
67,98,99,352,0
60,97,93,382,0
140,98,92,375,0
118,98,90,361,0
134,97,93,407,0
171,97,91,370,0
194,99,97,430,0
68,97,95,407,0
193,98,91,388,0
164,99,91,408,0
80,99,96,395,0
107,98,90,389,0
161,97,97,437,0
135,97,90,350,0
163,99,90,450,0
108,98,98,413,0
104,99,95,374,0
143,98,93,401,0
148,98,96,403,0
85,99,94,362,0
214,99,98,375,0
90,97,91,387,0
60,99,90,386,0
167,98,90,425,0
102,98,92,351,0
207,99,99,430,0
129,98,96,354,0
201,98,92,428,0
151,98,90,356,0
208,97,99,412,0
215,97,91,435,0
182,98,90,370,0
212,97,90,419,0
109,98,97,385,0
76,99,97,373,0
70,97,92,446,0
133,99,92,351,0
65,97,93,432,0
77,98,94,410,0
168,98,93,388,0
181,99,90,445,0
147,98,94,380,0
123,99,98,351,0
163,99,96,401,0
146,99,98,447,0
204,99,91,449,0
178,98,93,436,0
186,99,90,429,0
140,99,90,407,0
189,99,94,413,0
81,99,97,409,0
186,98,90,399,0
206,99,99,399,0
148,99,92,385,0
71,98,96,354,0
62,99,90,438,0
79,99,96,409,0
194,97,97,419,0
188,97,99,447,0
155,98,95,410,0
148,97,96,410,0
179,98,93,419,0
109,97,97,444,0
208,99,99,397,0
77,98,94,395,0
215,97,98,416,0
178,99,97,353,0
183,98,97,421,0
121,99,97,377,0
94,97,94,371,0
74,97,96,377,0
100,97,98,352,0
195,97,99,415,0
101,98,98,434,0
143,99,99,437,0
125,99,92,354,0
152,97,94,400,0
65,97,96,450,0
173,98,92,407,0
158,99,92,402,0
150,99,92,378,0
209,98,96,444,0
198,97,93,355,0
175,98,91,361,0
218,97,91,395,0
60,98,99,428,0
220,99,99,408,0
178,98,97,444,0
100,97,90,378,0
165,99,92,412,0
61,98,97,450,0
199,97,96,351,0
194,97,92,409,0
76,97,97,397,0
60,98,98,363,0
145,99,94,369,0
78,99,90,405,0
155,98,98,430,0
124,99,96,448,0
106,97,98,427,0
125,98,91,369,0
80,99,99,436,0
71,99,98,378,0
169,97,98,432,0
119,97,90,363,0
186,99,93,378,0
109,98,95,430,0
125,99,95,363,0
124,98,98,440,0
203,99,94,390,0
206,99,93,378,0
163,99,96,427,0
81,98,98,425,0
99,98,93,407,0
102,99,92,357,0
115,98,92,383,0
143,97,92,383,0
137,98,97,419,0
64,99,99,401,0
202,98,96,391,0
131,98,92,395,0
80,97,96,361,0
169,99,90,432,0
157,97,95,439,0
82,99,96,415,0
75,98,91,362,0
88,98,92,385,0
110,99,99,428,0
92,99,94,351,0
